#what,what,,,,,,,
#age,2 (week),,,,,,,
#organism part,aerial part,,,,,,,
#dose,20 micromolar,,,,,,,
#development stage,seedling,,,,,,,
#compound,,,DMSO,DMSO,t-zeatin,t-zeatin,DMSO,t-zeatin
Gene ID,Gene Name,DesignElementAccession,NASCArrays:Tab2MAGE:E-NASC-75.20.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.17.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.32.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.38.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.13.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.35.Hybridization
AT1G02305,CATHB2,259416_at,8.84642582,8.935518809,9.519369618,9.532983274,8.891450746,9.440511419
AT1G02310,MAN1,259442_at,4.858594417,4.839113209,4.723029256,4.688253956,4.846177377,4.63896085
AT1G02320,,259413_at,3.457970975,3.40220804,3.350104705,3.347277388,3.274176058,3.369577867
AT1G02330,,259415_at,8.962582859,8.994334331,8.199345553,8.152949958,9.15786851,8.081269511
AT1G02340,HFR1,259417_at,3.805003174,3.848065621,3.743544868,3.745706595,3.848912697,3.639736054
AT1G02360,,259443_at,5.146233792,5.123536847,5.376100976,5.330866685,5.412014979,5.415491509
AT1G02370,,259444_at,6.424120069,6.267197345,6.296379977,6.572141145,6.185215836,6.398394008
AT1G02390,GPAT2,259418_at,4.707243897,4.676166498,4.762729163,4.926948693,4.846324965,4.792672208
AT1G02400,GA2OX6,259445_at,5.121954321,5.251299421,5.103085171,5.229186193,5.175675625,5.120649901
AT1G02410,COX11,259446_at,8.897026779,8.977265797,8.153789513,8.052590644,9.088741315,8.158180331
AT1G02420,,259414_at,5.732406276,5.862688526,5.661029015,5.70963834,5.989805291,5.637119247
AT1G02450,NIMIN-1,260904_at,4.585360265,4.711533249,4.36832034,4.703234246,4.778876916,4.945969392
AT1G02460,,260903_at,5.641600748,5.351825118,5.355288274,5.126497213,5.216955171,5.337259816
AT1G02470,,260933_at,4.819339949,4.952940844,4.601986695,4.649836924,4.525565384,5.006891302
AT1G02475,,260916_at,8.513267428,8.609495477,10.00440408,9.838327951,8.409639697,10.05273698
AT1G02490,,260911_at,4.128092163,4.068770639,4.192090292,4.15634324,4.146248347,4.076949898
AT1G02500,SAM1,260913_at,10.08116031,10.09443476,11.65658582,11.36983583,10.09522439,11.55775969
AT1G02540,,260906_at,4.130915533,4.2481052,4.116143809,4.066052395,4.267643358,4.097703911
AT1G02550,,260931_at,5.215104846,5.217194266,5.227956654,5.043930872,5.177477316,5.000178401
AT1G02560,CLPP5,260912_at,11.89085485,11.8713451,11.78936467,11.90822333,11.82021031,11.72970564
AT1G02575,,260907_at,5.035975612,4.920086204,4.7832008,4.608483431,4.916430048,4.46398315
AT1G02580,MEA,260908_at,5.782202214,5.77601817,5.55100018,5.491631445,5.687080696,5.443235641
AT1G02620,,260930_at,5.651269327,5.460538306,5.454422986,5.389312495,5.285555353,5.374805356
AT1G02640,BXL2,260914_at,8.746452517,8.92805662,8.279660162,8.748895095,9.088617456,8.580876691
AT1G02660,,260915_at,7.768928217,8.040896491,6.512065937,7.408208649,8.579784646,7.376464729
AT1G02670,,260909_at,5.694927133,5.952517342,5.471331451,5.763441767,5.72920265,5.567857587
AT1G02680,TAF13,260929_at,5.711647491,5.493554161,6.535462254,6.585667777,5.798605097,6.701372857
AT1G02690,IMPA-6,260910_at,8.128526238,7.965340869,8.202013203,8.182290803,8.160664072,8.000766898
AT1G02700,,260917_at,4.485871047,4.220124285,4.3679057,4.19717278,4.319426395,4.518712265
AT1G02710,,260905_at,6.258131596,6.14062015,5.810396528,5.985852318,6.136133993,5.984989333
AT1G02720,GATL5,260928_at,7.057142096,6.763183,6.089592017,6.195250607,6.800563187,6.229870943
AT1G02730,CSLD5,262109_at,9.075499793,9.001448877,9.174156107,8.988798317,8.883083361,8.855520831
AT1G02740,MRG2,262108_at,7.496024019,7.525998331,6.530405114,6.476101631,7.730316671,6.694090448
AT1G02750,DI19-2,262107_at,6.5766529,6.502899151,6.746190916,6.666660425,6.63487595,6.743993888
AT1G02780,RPL19A,262117_at,12.37644644,12.3517497,13.28032789,13.214818,12.12991141,13.16025781
AT1G02790,PGA3,262122_at,3.781848013,3.761459723,3.639851834,3.723109236,3.762401561,3.605874613
AT1G02800,CEL2,262121_at,8.247512713,7.914701727,7.670299886,7.59257564,8.152413987,7.457901088
AT1G02810,PME7,262105_at,4.376178017,4.211502134,4.099782752,3.896122917,4.174700633,4.176588589
AT1G02813,,262115_at,3.728962124,3.780801738,3.77595189,3.824158712,3.758940333,3.802697194
AT1G02816,,262116_at,6.954332231,6.966113568,7.714231729,7.777652388,7.181539492,7.760289124
AT1G02820,LEA2,262113_at,7.027126911,7.377419013,7.991083099,7.245422751,7.606785803,7.179332797
AT1G02830,RPL22A,262132_at,3.939359244,3.972001943,4.052506859,3.94385114,3.996840799,4.009798156
AT1G02840,SR34,262110_at,9.508344281,9.633243395,9.264015517,9.272965815,9.615086703,9.301266478
AT1G02850,BGLU11,262118_at,7.715277097,8.068277841,6.686007961,7.160123111,7.270395832,7.283595761
AT1G02860,BAH1,262114_at,7.575350178,7.7580897,6.47792495,6.851973712,7.913668157,6.870698439
AT1G02870,,262112_at,7.250232045,7.310539044,8.638585895,8.818043906,7.11359992,9.043275966
AT1G02890,,262130_at,8.516779542,8.614048778,7.761788971,7.949824862,8.798465109,7.745515144
AT1G02900,RALF1,262131_at,5.428117282,5.934817369,5.754918049,5.638611175,5.831419027,5.649991514
AT1G02910,LPA1,262104_at,8.969411899,8.988585594,8.967384659,8.949579247,9.190220196,8.95522968
AT1G02940,ATGSTF5,262103_at,4.294443593,3.940784304,4.306644646,4.050285621,4.516103457,4.536718438
AT1G02950,ATGSTF4,262120_at,4.943847026,4.695669723,5.486649513,5.55616378,5.038384313,5.603768264
AT1G02960,,262111_at,8.172315897,8.03710255,6.65131808,6.744639846,8.216550891,6.782487892
AT1G02970,WEE1,262106_at,5.817768135,5.730674505,5.820605588,5.932986439,5.598768572,5.619339417
AT1G02980,CUL2,262102_at,3.627572235,3.685549944,3.772637266,3.84343279,3.757230685,3.696704767
AT1G03000,PEX6,263170_at,8.794591033,8.763414042,7.971340288,7.933360624,8.697085202,7.814522128
AT1G03010,,263169_at,3.963891246,3.893007512,3.69122746,3.545414526,3.695594562,3.592754756
AT1G03020,GRXS1,263168_at,5.068456899,4.833504818,5.321015672,5.371259769,4.893905238,5.371034659
AT1G03030,,263167_at,8.623783259,8.725734869,8.373440837,8.192313896,8.636376397,8.165129134
AT1G03040,,263117_at,6.720475168,6.455590221,8.461616245,8.396097661,6.949920347,8.341618108
AT1G03050,,263166_at,3.796612416,3.830927644,3.83236223,3.783747933,3.650052803,3.676610201
AT1G03055,D27,263115_at,4.956047863,4.977570295,6.206926634,6.026941808,4.890729959,5.713850665
AT1G03060,SPI,263165_at,7.312457542,7.284653741,6.762229357,7.021862507,7.551207505,6.961398509
AT1G03070,,263164_at,5.68596693,5.635721324,5.408242238,5.31273102,5.48579109,5.581094326
AT1G03080,NET1D,263112_at,6.638510673,6.816514963,6.310605844,6.429815213,7.103229144,6.46162322
AT1G03090,MCCA,263118_at,7.762130801,8.267060962,7.242085749,7.22001011,7.897070338,7.35041763
AT1G03100,,263143_at,5.730269869,5.548731073,5.41148205,5.215506017,5.504236001,5.366409392
AT1G03110,TRM82,263119_at,8.109787596,8.041029456,8.067697093,8.078715124,7.991587249,8.011454611
AT1G03130,PSAD2,263114_at,11.174353,11.11122964,13.20701723,13.00531794,11.09454393,13.02623565
AT1G03150,NAA20,263113_at,7.346147265,7.117295221,7.985706742,7.939751852,6.879354107,7.987124681
AT1G03160,FZL,263163_at,7.433194017,7.374643164,7.908935239,7.856180498,7.417915825,7.982009295
AT1G03170,FAF2,264363_at,4.440512241,4.293185255,4.477381475,4.286535138,4.517606869,4.201232561
AT1G03180,,264358_at,5.514023645,5.500882967,5.618217555,5.507962886,5.272003352,5.309583056
AT1G03190,XPD,264356_at,6.666336279,6.33397084,6.068758193,6.19103118,6.4989084,5.994409617
AT1G03210,,264355_at,7.146260412,7.241962022,7.655136512,7.467839275,7.221523145,7.745239531
AT1G03250,,264366_at,7.444126574,7.531112118,7.449105558,7.447168376,7.528928693,7.295063098
AT1G03260,,264353_at,6.270159748,6.294467492,6.447889252,6.866973383,6.467234269,6.78789548
AT1G03270,CBSDUF4,264352_at,5.167656982,5.074505209,5.060878275,5.328694266,5.173874153,5.193843124
AT1G03280,,264368_at,9.179634518,9.183779124,7.897238149,8.059879126,9.329063833,8.013672643
AT1G03290,,264362_at,7.167154572,7.265017155,6.628600561,6.45026113,7.516040467,6.769405545
AT1G03300,DUF1,264361_at,5.447599367,5.549788233,5.125145689,5.103642258,5.318972791,4.852864146
AT1G03310,ISA2,264360_at,9.397626612,9.27444267,9.144005767,9.051477746,9.272907515,9.051943078
AT1G03320,,264359_at,5.339973843,5.170781922,5.041606714,4.951168762,5.134929996,4.554987363
AT1G03330,LSM2,264364_at,9.212198231,9.122106025,9.604825647,9.573674783,9.303269757,9.550519676
AT1G03350,,264367_at,8.94548261,8.946560036,8.88789227,9.338464661,8.980918675,8.944446776
AT1G03360,RRP4,264357_at,8.9723604,8.899156947,7.973798441,8.033410699,8.857801008,8.012117177
AT1G03370,,264351_at,7.184230289,7.307610104,7.118344661,7.335614168,7.36912964,7.372378219
AT1G03380,ATG18G,264828_at,7.075465235,6.874546604,6.058531099,6.026150782,6.923212113,5.806372526
AT1G03390,,264827_at,4.095952818,4.010785372,4.001848545,3.817690625,3.839163404,3.930092277
AT1G03400,,264843_at,8.075928084,8.20306149,8.045818297,8.087492946,8.475405446,8.127376311
AT1G03410,2A6,264826_at,5.487619391,5.499774264,5.027474184,4.838404891,5.866293962,4.75069078
AT1G03430,AHP5,264838_at,7.659598862,7.811042235,7.692568921,7.792779247,7.794089166,7.853283443
AT1G03440,,264840_at,6.948346455,7.119621916,7.684790704,7.686428111,7.025448192,7.673350014
AT1G03445,BSU1,264823_at,6.041156349,5.76626824,5.838071703,5.692507875,5.786020998,5.601309584
AT1G03457,,264822_at,7.400165411,7.436465682,6.89519111,6.91676748,7.739419378,6.766405969
AT1G03470,NET3A,264821_at,5.881173057,6.068741896,5.556529812,5.60816277,5.865717814,5.480158811
AT1G03475,CPX1,264820_at,9.305763268,9.121698243,10.34973006,10.21906554,9.397502223,10.20277187
AT1G03490,NAC006,264829_at,4.27871074,4.330188524,3.935700519,4.10977072,4.097112658,4.062762042
AT1G03510,PCMP-E3,264819_at,4.473088694,4.414304828,4.964469574,4.848732224,4.556045873,4.805341137
AT1G03520,,264844_at,7.270907248,7.235424195,6.047845864,6.116287098,7.215114165,6.174823333
AT1G03530,ATNAF1,264818_at,7.571309052,7.464432512,7.280726172,7.443738204,6.98028954,7.381933233
AT1G03540,PCMP-E4,264817_at,5.284848294,5.107781135,4.947469058,4.748479098,4.981963446,4.816510085
AT1G03550,SCAMP2,264835_at,6.666669004,6.619807453,5.610608382,5.354587337,6.71793052,5.649257509
AT1G03560,,264816_at,6.245052181,6.391089137,6.160376085,6.411292396,6.737732553,6.320111991
AT1G03590,PPC6-6,264833_at,7.413400959,7.535065065,8.122442062,8.256109891,7.728768555,8.2428323
AT1G03600,PSB27-1,264837_at,11.07604082,10.91989793,12.66953129,12.77431914,11.01925551,12.69148358
AT1G03610,,264836_at,8.102507353,8.146899988,7.636938725,7.680943099,7.972682488,7.671719663
AT1G03620,,264815_at,5.487654766,5.565311447,5.056657895,4.923154156,5.677360871,5.082792375
AT1G03630,PORC,264839_at,12.32337818,12.2524462,11.81614025,11.75842269,12.43067068,11.85768554
AT1G03660,,264832_at,7.180030087,6.840171595,6.385933527,6.235817517,7.270395832,6.316862313
AT1G03680,ATHM1,264845_at,11.32976432,11.32862289,12.23002773,12.23396836,11.22068091,12.14970408
AT1G03687,,264831_at,6.375359032,6.349748425,6.55239271,6.541576483,6.325128467,6.677352304
AT1G03700,,264842_at,4.279845619,4.456870559,4.110598562,3.979938499,4.104087192,3.784174273
