#development stage,vegetative stage,,,,,,,
#age,21 (day),,,,,,,
#genotype,Col-0,,,,,,,
#organism part,whole organism,,,,,,,
#compound,,,t-zeatin,t-zeatin,none,none,t-zeatin,none
Gene ID,Gene Name,DesignElementAccession,NO.20-2,NO.19-2,NO.11,NO.10,NO.21-2,NO.12
AT1G02680,TAF13,260929_at,7.410378519,7.529418513,7.515295274,7.577340702,7.470184243,7.736041684
AT1G02690,IMPA-6,260910_at,8.027602619,7.850169783,7.470325455,7.555836652,8.095644087,7.495090487
AT1G02700,,260917_at,4.999802234,4.798410639,4.908114919,4.881635838,4.960568369,4.641086811
AT1G02710,,260905_at,5.62467758,5.56374206,5.225741103,5.475589192,5.340345476,5.491192433
AT1G02720,GATL5,260928_at,7.764259476,7.878605576,7.722760685,7.705989367,7.80222152,7.881179205
AT1G02730,CSLD5,262109_at,7.448681058,7.452185051,7.264311197,7.39327585,7.601391182,7.487675725
AT1G02740,MRG2,262108_at,7.767852243,7.698960121,7.701288223,7.670906526,7.703026214,7.705023854
AT1G02750,DI19-2,262107_at,7.883821138,7.742172847,8.210591506,8.115216162,7.660386953,8.23443229
AT1G02780,RPL19A,262117_at,12.93272979,12.88078922,12.687977,12.61618614,12.86183922,12.68936234
AT1G02790,PGA3,262122_at,4.535333874,4.427989161,4.459586852,4.314438857,4.412322714,4.244352399
AT1G02800,CEL2,262121_at,6.188736862,5.762740794,5.804367646,6.004124125,5.846449152,5.783319936
AT1G02810,PME7,262105_at,5.486600327,5.451788182,6.363937924,6.282405589,5.358193399,6.437368153
AT1G02813,,262115_at,4.674054191,4.507085424,4.727555196,4.650573526,4.580896758,4.729340288
AT1G02816,,262116_at,8.374179537,8.272904481,9.507637652,9.449904867,8.473696414,9.55350709
AT1G02820,LEA2,262113_at,7.501635187,7.579368118,8.032308821,8.022284363,7.484974436,8.134481993
AT1G02830,RPL22A,262132_at,4.501747057,4.357359133,4.446705052,4.327604241,4.430470277,4.330939901
AT1G02840,SR34,262110_at,10.05305966,10.00622223,9.760699961,9.766501034,9.947553698,9.751292932
