#ecotype,Col-0,,,,,,
#age,10 (day),,,,,,
#developmental stage,seedling,,,,,,
#organism part,whole organism,,,,,,
#age,10 (day),,,,,,
#development stage,seedling,,,,,,
#compound,,none,none,treated with 5 microMolar BA for 120 minutes,treated with 5 microMolar BA for 120 minutes,treated with 5 microMolar BA for 120 minutes,none
Gene ID,Gene Name,SRR797194,SRR797230,SRR797231,SRR797240,SRR797241,SRR833246
AT1G05170,B3GALT2,603,1266,329,621,939,944
AT1G05180,AXR1,623,1556,523,774,1838,1519
AT1G05190,RPL6,8371,12958,3834,6001,15403,12749
AT1G05200,GLR3.4,1389,3218,932,1306,2834,2940
AT1G05205,,252,492,178,200,595,438
AT1G05210,,83,168,62,91,188,178
AT1G05220,,4,43,11,16,52,17
AT1G05230,HDG2,485,1038,328,453,1054,1104
AT1G05240,PER1,0,0,0,0,0,0
AT1G05250,PER1,0,0,0,0,1,0
AT1G05260,PER3,482,2755,946,742,3279,1853
AT1G05270,,669,1441,464,624,1682,1398
AT1G05280,,15,37,4,8,3,20
AT1G05290,,0,0,0,0,0,1
AT1G05291,,0,0,0,0,0,0
AT1G05300,ZIP5,268,835,181,272,710,611
AT1G05310,PME8,25,103,55,52,169,78
AT1G05320,,322,975,365,457,1140,1022
AT1G05330,,2,1,4,7,9,2
AT1G05340,,702,1314,371,444,1073,918
AT1G05350,,1008,2121,748,985,2490,2172
AT1G05360,KMS2,167,444,138,206,449,432
AT1G05370,,28,41,15,25,51,52
AT1G05380,,1577,3730,1320,1943,3975,3473
AT1G05385,PSB27-2,317,568,156,267,629,534
AT1G05390,,0,0,0,0,0,0
AT1G05400,,17,23,7,18,46,35
AT1G05410,,589,1321,527,695,1925,1209
AT1G05420,ATOFP12,156,284,83,81,357,230
AT1G05430,,633,1215,437,591,1477,1277
AT1G05440,,31,58,10,27,60,71
AT1G05450,,1,6,11,2,16,7
AT1G05460,SDE3,164,412,101,197,442,354
AT1G05470,IP5P6,178,429,162,248,578,442
AT1G05490,CLSY3,13,32,13,29,43,32
AT1G05500,SYT5,1049,2482,810,1041,2722,2467
AT1G05510,OBAP1A,7,5,3,6,127,18
AT1G05520,,1283,2839,970,1468,3305,2815
AT1G05530,UGT75B2,19,52,7,14,31,20
AT1G05540,,97,148,41,101,135,119
AT1G05550,,1,3,1,2,3,2
AT1G05560,UGT1,2382,3224,775,1818,2431,2459
AT1G05562,,12,19,6,12,11,12
AT1G05570,CALS1,1033,3359,886,1130,3129,3435
AT1G05575,,447,747,105,446,352,367
AT1G05577,,4,6,1,5,7,8
AT1G05580,CHX23,0,0,0,0,0,0
AT1G05590,HEXO2,253,567,135,265,503,588
AT1G05600,,66,152,56,65,178,155
AT1G05610,APS2,12,19,7,15,25,21
AT1G05615,,0,0,0,0,1,0
AT1G05620,URH2,203,689,239,262,905,555
AT1G05630,AT5PTASE13,196,576,164,275,626,558
AT1G05640,,58,126,15,39,113,123
AT1G05650,,22,195,21,13,130,77
AT1G05660,,22,174,20,25,120,69
AT1G05670,,371,747,192,449,489,572
AT1G05675,UGT74E1,487,790,129,499,250,346
AT1G05680,UGT74E2,1220,2193,510,1701,645,993
AT1G05690,BT3,99,129,31,77,107,158
AT1G05700,,26,225,45,95,233,430
AT1G05710,,169,324,141,230,418,369
AT1G05720,,237,545,181,256,629,538
AT1G05730,,59,122,54,48,124,123
AT1G05740,,4,6,2,2,11,5
AT1G05750,PDE247,124,262,68,140,244,249
AT1G05760,RTM1,0,0,0,0,0,0
AT1G05770,JAL2,8,20,11,10,21,24
AT1G05780,,150,258,90,123,352,287
AT1G05785,,118,237,74,111,290,222
AT1G05790,,447,958,310,457,1099,928
AT1G05800,DGL,3,5,0,0,1,2
AT1G05805,BHLH128,495,1300,439,561,1414,1194
AT1G05810,ARA,483,962,334,400,1218,927
AT1G05820,SPPL5,84,209,81,96,226,250
AT1G05830,ATX2,751,1932,673,981,2292,2000
AT1G05835,,60,80,23,36,77,74
AT1G05840,,441,912,283,429,1017,840
