#age,6 (day),,,,,,,
#development stage,seedling,,,,,,,
#ecotype,Col-0,,,,,,,
#compound,,,1 micromolar indole-3-acetic acid,1 micromolar indole-3-acetic acid,none,1 micromolar indole-3-acetic acid,none,none
Gene ID,Gene Name,DesignElementAccession,Hybridization6,Hybridization4,Hybridization2,Hybridization5,Hybridization3,Hybridization1
AT1G03510,PCMP-E3,264819_at,5.780854911,5.710091896,5.845818466,5.589398059,5.752517202,5.499548564
AT1G03520,,264844_at,8.302157527,8.372085435,8.399413216,8.46575722,8.360507887,8.406799222
AT1G03530,ATNAF1,264818_at,8.057287548,8.192224698,7.977967932,8.467976541,8.040046308,8.259779729
AT1G03540,PCMP-E4,264817_at,5.569844888,5.5277368,5.262079929,5.474216013,5.549757356,5.505623057
AT1G03550,SCAMP2,264835_at,8.895136365,8.705809135,8.834618903,8.645769096,8.78896674,8.874810135
AT1G03560,,264816_at,6.305327656,6.26338513,6.385108266,6.29803884,6.272592041,6.032829506
AT1G03590,PPC6-6,264833_at,10.28977251,10.09442314,10.44485056,10.13619903,10.57420715,10.33891615
AT1G03600,PSB27-1,264837_at,12.45426552,12.53632919,12.51145311,12.61512794,12.59915641,12.60945771
AT1G03610,,264836_at,11.48355294,11.53367228,11.45007634,11.57679886,11.42676056,11.58270472
AT1G03620,,264815_at,7.120237123,7.3884414,7.207555754,6.747871081,7.206840252,6.940648636
AT1G03630,PORC,264839_at,7.0554639,6.793478692,7.375583174,7.173732383,7.361040269,7.608999202
AT1G03660,,264832_at,7.577901422,7.537870777,7.832431389,7.536109341,7.782526165,7.76376395
AT1G03680,ATHM1,264845_at,10.67696276,10.77658634,10.94943424,10.94333993,10.70871258,10.98866218
AT1G03687,,264831_at,7.474968263,7.656713099,7.528747716,7.336072748,7.547524764,7.643942089
AT1G03700,,264842_at,4.762995107,5.178547046,5.126639413,4.686753686,4.926265699,5.173335312
AT1G03710,,264830_at,4.152059593,4.373662456,4.052328914,4.191314139,4.234361074,4.261231332
AT1G03720,,264825_at,5.544865725,5.481788406,5.327663164,5.443107739,5.597157946,5.361912433
AT1G03730,,264834_at,8.743025385,9.014543809,8.903643195,8.942862797,8.71472912,8.429547905
AT1G03740,,264841_at,8.629132381,8.799956795,8.950972906,9.002797449,8.858250816,8.923451514
AT1G03750,SWI2,265088_at,6.019798472,6.041181062,5.999067281,6.08071603,6.026800798,5.569072635
AT1G03760,,265087_at,8.264355131,8.327422005,8.494939202,8.450045265,8.48431443,8.51375747
