#age,3(day),,,,,,,
#ecotype,Col-0,,,,,,,
#dose,10  micromolar,,,,,,,
#compound,,,DMSO,indole-3-butyric acid,indole-3-butyric acid,DMSO,DMSO,indole-3-butyric acid
Gene ID,Gene Name,DesignElementAccession,GSM1436785,GSM1436787,GSM1436783,GSM1436781,GSM1436789,GSM1436791
AT1G03380,ATG18G,264828_at,4.865763603,5.426527603,5.37367354,4.9550894,4.591189975,5.561696076
AT1G03390,,264827_at,2.622791406,2.514343623,2.47014967,2.458373058,2.552880639,2.588992032
AT1G03400,,264843_at,2.303777345,2.850921455,2.466170241,2.547986951,2.743732364,2.276187726
AT1G03410,2A6,264826_at,3.998124035,4.264491745,4.620074038,4.186744928,4.063139501,4.391305562
AT1G03430,AHP5,264838_at,6.276233784,6.274789233,6.325414811,6.443936289,6.372524923,6.190301474
AT1G03440,,264840_at,3.520631571,3.34429261,3.595268639,3.790938494,3.749986155,3.878048897
AT1G03445,BSU1,264823_at,3.85451089,3.679784432,3.625205225,3.513047576,4.140973913,3.644873264
AT1G03457,,264822_at,5.162473983,5.147907262,5.099256002,5.323370159,5.432764759,5.371042905
AT1G03470,NET3A,264821_at,3.75232221,4.358604045,4.274508887,4.132753695,4.048333023,4.148874463
AT1G03475,CPX1,264820_at,5.89526858,5.711195055,5.900877822,5.853258523,6.110131028,5.701616857
AT1G03490,NAC006,264829_at,2.394278764,2.409360484,2.238602935,2.417547976,2.713654297,2.294911982
AT1G03510,PCMP-E3,264819_at,3.460293766,3.391021924,3.343269139,3.613781212,3.780695505,3.332712879
AT1G03520,,264844_at,5.905884474,5.70941054,5.802879659,5.844601115,5.966501534,5.45722571
AT1G03530,ATNAF1,264818_at,7.095000578,7.054925845,6.957547815,7.107082083,7.184910355,6.72352458
AT1G03540,PCMP-E4,264817_at,3.987476119,3.417968798,3.832756184,3.625749562,3.815002951,3.748211153
AT1G03550,SCAMP2,264835_at,6.989129105,6.625071397,6.606655501,7.011208955,7.196447398,6.620960163
AT1G03560,,264816_at,4.939707588,5.11289528,4.667045301,4.857381754,4.860139859,4.762397801
AT1G03590,PPC6-6,264833_at,7.520079445,7.271671521,7.33772263,7.388977335,7.277844281,7.363208902
AT1G03600,PSB27-1,264837_at,4.113804832,4.725492979,4.974205012,4.54490206,4.145517756,5.233988781
AT1G03610,,264836_at,5.552072999,6.087097716,6.025912254,5.839719068,6.091963136,6.087097716
AT1G03620,,264815_at,2.62179894,2.798026567,2.312568553,2.673759296,2.465920603,2.924132603
AT1G03630,PORC,264839_at,2.829858754,2.682496666,2.886342681,2.667852842,2.59937622,2.45611717
AT1G03660,,264832_at,5.309948106,5.123377954,5.262351279,5.332334721,5.702598367,5.254362596
AT1G03680,ATHM1,264845_at,6.020454954,6.221340871,5.881741648,6.023593908,6.087132088,6.239289671
AT1G03687,,264831_at,5.998531532,5.847302747,6.261237468,6.250503271,6.026443728,5.888860799
AT1G03700,,264842_at,3.421790195,6.515784028,6.200193525,3.353786778,2.983254839,6.88709518
AT1G03710,,264830_at,2.659524547,2.398920263,2.320822017,2.506111586,2.667215088,2.634976898
AT1G03720,,264825_at,3.201170296,3.238395098,3.105660611,3.216432707,3.446718593,3.068572473
AT1G03730,,264834_at,6.394203549,6.423803422,6.582855384,6.218526354,6.561637576,6.352505541
AT1G03740,,264841_at,4.494377625,4.109051866,4.342746671,4.120671201,4.241776859,4.694588541
AT1G03750,SWI2,265088_at,4.229959054,4.578229782,4.277664231,4.143764666,4.039342015,4.185233937
AT1G03760,,265087_at,5.08190916,5.134975542,5.067082678,5.407900751,5.262472754,5.141024437
AT1G03770,RING1B,265086_at,4.586290647,4.422994508,4.462175591,4.402942627,4.35827261,4.007758552
AT1G03780,TPX2,265085_at,5.451456816,5.734444084,5.191919168,5.445857937,5.496760372,5.306243913
AT1G03790,SOM,265084_at,2.606175867,2.515221969,2.89254534,2.60719276,2.852913586,2.536930225
AT1G03820,,265083_at,4.508359126,5.676132666,5.648289288,4.836505329,4.521510526,5.930879333
AT1G03830,,265082_at,5.063289772,5.181935362,5.131088868,5.034312156,4.740916431,4.559452318
AT1G03840,MGP,265081_at,6.692231792,6.707787121,6.685578903,6.773168419,6.820576442,6.495519588
AT1G03850,,265067_at,5.354594769,7.156474981,7.117219482,5.661390867,5.918649876,7.749770666
AT1G03860,PHB2,265037_at,9.715404266,9.528685113,9.552479971,9.789262626,9.91882755,9.622794829
AT1G03870,FLA9,265066_at,11.09619177,9.414671553,9.867319771,11.14683439,11.22212647,9.79476964
AT1G03880,CRB,265095_at,2.755766965,2.599780921,2.673339023,2.485084538,2.756615401,2.805580878
AT1G03890,CRD,265094_at,2.167576953,2.242144532,2.144748664,1.923278335,2.436382227,1.989651182
AT1G03900,ATNAP4,265043_at,9.647474343,9.528194092,9.686617076,9.752755499,9.843894713,9.6488451
AT1G03905,ABCI19,265093_at,6.308300548,6.460095332,6.464970985,6.209009258,6.230586326,6.408872657
AT1G03910,CTN,265092_at,8.165542493,8.072336789,8.158743757,8.172685294,8.225388906,8.037346101
AT1G03920,,265038_at,6.493715536,6.377092904,6.31341847,6.641119862,6.338690417,6.092904895
AT1G03950,VPS2.3,265044_at,6.073006811,6.683719264,6.535635491,6.32060302,6.409129152,7.034777319
AT1G03960,B''EPSILON,265090_at,3.862804904,4.047314985,3.86737547,4.01020243,4.00193214,3.826912323
AT1G03970,GBF4,265040_at,4.913267301,5.42330831,5.268761274,4.995671836,4.821150901,5.196799969
AT1G03980,ATPCS2,265065_at,4.759421732,4.186598944,4.106808872,4.629642237,4.514066582,4.140938211
AT1G03990,FAO1,265099_at,3.444956098,3.22692867,3.474444886,3.36265781,3.926802668,3.227973437
AT1G04000,,265039_at,5.340462376,5.619999389,5.503780007,5.354234809,5.477753485,5.548097221
AT1G04010,PSAT,265098_at,5.385670548,5.094344167,5.311373064,5.096136851,5.247780647,5.196634835
AT1G04020,ATBARD1,265097_at,7.23695327,7.235194261,7.205378422,7.243224046,7.410905792,6.883553821
AT1G04030,,265096_at,4.111197961,4.553676528,4.475726711,4.056618641,3.553911886,4.815230809
AT1G04040,,265042_at,11.16821654,10.27222788,10.42864632,11.14603625,11.34791618,10.37668598
AT1G04050,SUVR1,257404_at,3.733679747,3.880352875,3.869925124,3.767296038,3.681867044,3.725775591
